x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.212877,0.784791,0.344835,0.723586,0.415328,0.626768,0.465047,0.544781,0.527203,0.467256,0.312031,0.480896,0.326701,0.355564,0.337323,0.270102,0.343729,0.201584,0.231185,0.481919,0.224469,0.343285,0.221120,0.247261,0.217659,0.171167,0.151309,0.500469,0.128404,0.377516,0.116181,0.285193,0.106244,0.209134,0.077991,0.528583,0.042368,0.430750,0.026003,0.360239,0.014094,0.291970,1572669445219
0.223301,0.777303,0.347310,0.700044,0.419610,0.607212,0.469498,0.523288,0.529501,0.435286,0.314092,0.455492,0.333785,0.331642,0.345994,0.246705,0.351587,0.173766,0.237203,0.460192,0.231781,0.325466,0.228577,0.232019,0.222112,0.149971,0.161798,0.483488,0.139305,0.364699,0.126421,0.272581,0.114305,0.193519,0.093115,0.517441,0.057283,0.420068,0.042450,0.353760,0.031560,0.290034,1572669445356
0.228699,0.767555,0.348492,0.691349,0.420376,0.601096,0.470417,0.514032,0.527999,0.422834,0.324472,0.444097,0.341402,0.318924,0.349496,0.232778,0.353647,0.160958,0.245675,0.447127,0.237472,0.308399,0.231907,0.214414,0.227138,0.133859,0.168980,0.470238,0.144439,0.348663,0.129249,0.256892,0.118105,0.180640,0.098699,0.503145,0.062275,0.403713,0.047886,0.337864,0.039513,0.276405,1572669445477
0.233475,0.755550,0.351380,0.676109,0.424301,0.583715,0.473326,0.495166,0.531635,0.403917,0.324500,0.428416,0.343631,0.306108,0.353791,0.221228,0.359318,0.148940,0.247222,0.433132,0.241453,0.296413,0.237228,0.202546,0.232682,0.121613,0.171367,0.457496,0.148144,0.337378,0.134360,0.245562,0.123605,0.167333,0.101453,0.491993,0.066417,0.391738,0.053400,0.326495,0.045293,0.263705,1572669445595
0.240494,0.740940,0.359810,0.659902,0.432635,0.566302,0.481653,0.475835,0.539548,0.385940,0.331853,0.418589,0.349289,0.289266,0.356550,0.200702,0.360120,0.127400,0.253562,0.421647,0.246085,0.281350,0.241067,0.186220,0.237483,0.101574,0.177992,0.444647,0.154853,0.320424,0.140107,0.227454,0.130104,0.148781,0.109088,0.476959,0.077517,0.374306,0.062033,0.306383,0.052505,0.243617,1572669445711
0.250311,0.727739,0.365081,0.651974,0.439247,0.558020,0.490592,0.465757,0.549272,0.376295,0.340707,0.406583,0.356009,0.278791,0.362494,0.190356,0.367399,0.115371,0.261928,0.409464,0.254576,0.270076,0.248677,0.174317,0.245979,0.089115,0.185560,0.431476,0.164412,0.305837,0.151244,0.213834,0.144024,0.135013,0.114849,0.462393,0.083047,0.357452,0.069369,0.288565,0.062894,0.224145,1572669445827
0.259797,0.718952,0.375459,0.642187,0.447025,0.548725,0.497320,0.459086,0.552869,0.369264,0.347787,0.395026,0.362420,0.270357,0.369719,0.183364,0.375501,0.109598,0.270119,0.397541,0.261981,0.263985,0.254542,0.169982,0.249760,0.085056,0.194881,0.421807,0.172909,0.300448,0.159993,0.211063,0.152033,0.135454,0.124677,0.455236,0.090409,0.352560,0.078276,0.285582,0.073169,0.222412,1572669445944
0.271625,0.707949,0.386973,0.627758,0.459399,0.533602,0.511256,0.443239,0.570068,0.353776,0.360490,0.381598,0.371295,0.255652,0.376866,0.169327,0.380616,0.097211,0.280483,0.384386,0.271238,0.246928,0.261841,0.154174,0.255869,0.069668,0.203427,0.406989,0.181922,0.280464,0.167193,0.189826,0.160008,0.112278,0.131782,0.439081,0.099575,0.335690,0.084911,0.266926,0.077581,0.201474,1572669446060
0.283492,0.697323,0.396657,0.622738,0.467840,0.528690,0.517616,0.437093,0.577501,0.347877,0.370334,0.376524,0.382832,0.251253,0.388349,0.163312,0.393029,0.088781,0.292043,0.378669,0.284937,0.240553,0.276639,0.144838,0.271721,0.059901,0.215992,0.401281,0.195306,0.274099,0.179508,0.182728,0.171129,0.105627,0.146142,0.433044,0.110855,0.328521,0.094741,0.260522,0.086556,0.196659,1572669446176
0.300695,0.681566,0.416446,0.601673,0.487874,0.513570,0.538677,0.424523,0.596663,0.332684,0.386536,0.355880,0.399269,0.232314,0.404721,0.146986,0.407797,0.073281,0.309026,0.359520,0.302199,0.224144,0.293480,0.132512,0.288019,0.050429,0.234607,0.382156,0.214560,0.258456,0.197587,0.169970,0.188753,0.093323,0.165703,0.416585,0.127731,0.314413,0.109332,0.246417,0.098384,0.181944,1572669446293
0.308520,0.675753,0.422669,0.601048,0.492444,0.506241,0.540416,0.412705,0.597519,0.322728,0.393013,0.354845,0.407024,0.227915,0.412746,0.141874,0.417150,0.068830,0.314830,0.356978,0.307544,0.218405,0.299587,0.125702,0.295670,0.041975,0.239773,0.380380,0.218499,0.255491,0.203686,0.164800,0.197114,0.087002,0.170137,0.413493,0.131691,0.310436,0.114942,0.243834,0.107674,0.180704,1572669446409
0.319088,0.666629,0.435905,0.591703,0.504724,0.503232,0.555089,0.412106,0.611116,0.320756,0.400903,0.349317,0.414864,0.223859,0.421103,0.138870,0.425698,0.064805,0.324786,0.352350,0.319456,0.215939,0.311170,0.123311,0.306786,0.038780,0.250515,0.374380,0.230227,0.253061,0.216039,0.162638,0.210625,0.083481,0.180298,0.406266,0.140657,0.308698,0.123220,0.239788,0.115223,0.172372,1572669446526
0.332591,0.657699,0.450679,0.582390,0.519962,0.490389,0.568521,0.401861,0.627576,0.308385,0.420278,0.334814,0.436323,0.207787,0.443477,0.121424,0.447113,0.048600,0.342802,0.337938,0.339298,0.201857,0.330264,0.111795,0.323353,0.030691,0.266732,0.359233,0.249220,0.236422,0.233271,0.148809,0.224219,0.074164,0.195802,0.391181,0.156894,0.289540,0.138565,0.222856,0.128678,0.160804,1572669446644
0.343354,0.647891,0.463041,0.575520,0.534343,0.484588,0.583840,0.395550,0.642623,0.304328,0.429767,0.328581,0.445044,0.205172,0.452115,0.120304,0.456684,0.046634,0.352425,0.330059,0.350797,0.198935,0.343059,0.107265,0.337899,0.024789,0.277331,0.351507,0.259050,0.236301,0.244115,0.147828,0.236339,0.070981,0.207285,0.384940,0.171471,0.289821,0.154101,0.222467,0.145942,0.158042,1572669446760
0.367485,0.641836,0.482667,0.569175,0.552830,0.480246,0.600752,0.393854,0.667206,0.299920,0.453617,0.320676,0.467907,0.194846,0.475037,0.109824,0.477750,0.038159,0.376903,0.322595,0.372903,0.189039,0.366009,0.100260,0.359082,0.019648,0.301248,0.342405,0.281528,0.225221,0.265885,0.135650,0.255032,0.057796,0.230474,0.375879,0.193833,0.279400,0.174527,0.210825,0.161633,0.145753,1572669446879
0.377019,0.640363,0.494062,0.568211,0.562795,0.475006,0.610757,0.386100,0.673073,0.292886,0.462582,0.322755,0.478624,0.197588,0.486571,0.111573,0.490911,0.037187,0.385345,0.326231,0.377334,0.192817,0.367844,0.101489,0.360057,0.017279,0.310096,0.348993,0.288877,0.233453,0.274586,0.140569,0.264623,0.059634,0.240578,0.383153,0.203752,0.287528,0.184893,0.217426,0.171780,0.150770,1572669447005
0.395073,0.634325,0.507055,0.562574,0.579670,0.473349,0.629443,0.386875,0.693070,0.295248,0.477345,0.313439,0.493538,0.189834,0.499988,0.103653,0.501242,0.030179,0.401403,0.316181,0.397264,0.185380,0.389828,0.095696,0.381801,0.016388,0.328051,0.337770,0.309580,0.223288,0.295335,0.133323,0.284355,0.056687,0.259488,0.373120,0.224182,0.277648,0.205696,0.208574,0.193517,0.144176,1572669447124
0.408923,0.631082,0.524739,0.558217,0.596168,0.466378,0.645649,0.376239,0.707456,0.282933,0.495233,0.312704,0.510033,0.187196,0.516376,0.100629,0.517480,0.026146,0.417570,0.315983,0.410453,0.183982,0.401645,0.092402,0.392825,0.012651,0.343071,0.338014,0.323071,0.223381,0.308180,0.131724,0.296546,0.054759,0.273090,0.371488,0.236949,0.276211,0.217574,0.207648,0.204768,0.144192,1572669447240
0.429851,0.627306,0.541173,0.555777,0.613551,0.464964,0.661460,0.378800,0.724759,0.288157,0.509437,0.307534,0.525756,0.183477,0.533996,0.094938,0.537954,0.019534,0.432213,0.311911,0.426806,0.180381,0.419131,0.086767,0.412248,0.009051,0.358131,0.334677,0.338131,0.222536,0.324845,0.129648,0.314366,0.053160,0.290054,0.372862,0.254070,0.278574,0.235381,0.208255,0.223650,0.143559,1572669447357
0.443227,0.627010,0.556847,0.558043,0.626025,0.466061,0.674072,0.378422,0.734038,0.289211,0.524628,0.313274,0.540834,0.186722,0.547226,0.098229,0.548576,0.022385,0.447713,0.317449,0.440256,0.184987,0.431415,0.091043,0.422937,0.010183,0.372972,0.340800,0.351922,0.226032,0.338153,0.130791,0.326916,0.052479,0.302801,0.375891,0.266244,0.280912,0.245968,0.210821,0.232885,0.145705,1572669447473
