x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.468139,0.707166,0.590460,0.648718,0.663205,0.549421,0.710942,0.468066,0.775714,0.389396,0.558279,0.409675,0.574674,0.286405,0.583147,0.202099,0.588943,0.135029,0.478789,0.412349,0.473117,0.277874,0.467585,0.185828,0.462069,0.108088,0.399859,0.432506,0.376187,0.314985,0.362345,0.227830,0.353789,0.153713,0.328470,0.464661,0.296031,0.369305,0.279811,0.302648,0.269203,0.237194,1572669043278
0.474587,0.717689,0.590975,0.656892,0.660703,0.560515,0.713980,0.476612,0.781118,0.393576,0.567307,0.399154,0.581881,0.276128,0.589695,0.192625,0.592029,0.123777,0.487938,0.404485,0.479602,0.272409,0.471950,0.182720,0.464495,0.103353,0.408903,0.430643,0.384454,0.314969,0.370288,0.225278,0.357917,0.146146,0.336640,0.468170,0.302507,0.370202,0.287972,0.303389,0.276566,0.238134,1572669043414
0.484362,0.720904,0.598147,0.655266,0.669710,0.558633,0.721936,0.472627,0.785775,0.387772,0.571397,0.399651,0.584534,0.275018,0.592565,0.190458,0.595754,0.121770,0.493677,0.407502,0.485835,0.275754,0.477235,0.183271,0.468548,0.105053,0.415897,0.435718,0.388407,0.320603,0.372908,0.229504,0.359459,0.152300,0.345198,0.475301,0.310068,0.376410,0.294925,0.307545,0.283842,0.242990,1572669043534
0.494128,0.722130,0.605784,0.657970,0.676323,0.561777,0.729501,0.475480,0.797578,0.390734,0.578166,0.400875,0.590046,0.275942,0.595508,0.190836,0.596677,0.122371,0.501266,0.406069,0.491282,0.273874,0.483081,0.181441,0.476243,0.099579,0.425479,0.432005,0.399419,0.317453,0.382710,0.226637,0.370505,0.147919,0.356029,0.470410,0.322556,0.373740,0.306358,0.305227,0.296088,0.241760,1572669043650
0.502579,0.723052,0.617795,0.657964,0.690590,0.558014,0.742259,0.473787,0.804163,0.389052,0.585865,0.396181,0.599017,0.277553,0.604769,0.192037,0.607300,0.123347,0.507627,0.401738,0.498127,0.276108,0.489778,0.183314,0.481222,0.101750,0.430287,0.428999,0.404281,0.319205,0.390218,0.228115,0.375744,0.149385,0.358460,0.467985,0.325395,0.375834,0.311071,0.306146,0.300209,0.239660,1572669043771
0.505871,0.721702,0.623334,0.656586,0.696386,0.556508,0.747290,0.472113,0.806995,0.388233,0.591985,0.395301,0.605163,0.275211,0.609975,0.189963,0.611123,0.120868,0.512960,0.400405,0.503627,0.272743,0.495433,0.179883,0.487532,0.097665,0.436047,0.427010,0.411241,0.316638,0.396637,0.225337,0.383389,0.147245,0.364528,0.465559,0.331421,0.374752,0.316144,0.305193,0.305644,0.239611,1572669043887
0.512957,0.721722,0.627076,0.657672,0.698838,0.559783,0.750037,0.473930,0.814893,0.387402,0.597823,0.393054,0.612752,0.272855,0.617803,0.187944,0.618569,0.120590,0.519905,0.398609,0.509633,0.269455,0.500344,0.177045,0.491809,0.096254,0.443323,0.424926,0.418942,0.313802,0.402502,0.224495,0.388610,0.147793,0.372334,0.464816,0.340661,0.371449,0.326311,0.302211,0.316551,0.239494,1572669044004
0.518556,0.724653,0.636114,0.655990,0.706974,0.559107,0.757836,0.473591,0.819718,0.386549,0.601214,0.398281,0.615633,0.277066,0.623122,0.189974,0.627658,0.120301,0.523889,0.404120,0.513655,0.276170,0.506404,0.181899,0.500349,0.099120,0.447088,0.430036,0.421003,0.319988,0.407205,0.228878,0.395215,0.150277,0.375781,0.467918,0.342384,0.375741,0.328843,0.305976,0.319945,0.240798,1572669044120
0.527120,0.724858,0.642771,0.656423,0.713429,0.559847,0.764236,0.474091,0.829271,0.386016,0.612418,0.397590,0.627038,0.277125,0.631899,0.190856,0.632963,0.123299,0.534699,0.402901,0.524733,0.274182,0.514901,0.182499,0.506461,0.101267,0.458912,0.428370,0.435488,0.317347,0.419313,0.227995,0.406631,0.152175,0.388510,0.466160,0.355558,0.373007,0.341533,0.303688,0.333709,0.241500,1572669044237
0.533093,0.718885,0.649868,0.654228,0.720328,0.556250,0.769961,0.469935,0.834903,0.382406,0.617691,0.394429,0.631945,0.273741,0.637874,0.186450,0.639637,0.115267,0.540118,0.400972,0.531587,0.273119,0.523726,0.180015,0.515809,0.098769,0.463806,0.427671,0.439130,0.317053,0.424365,0.225617,0.411118,0.147795,0.393162,0.466296,0.360462,0.373213,0.345576,0.303360,0.335137,0.238718,1572669044353
0.537952,0.723445,0.654900,0.658201,0.723868,0.561061,0.774157,0.475067,0.838876,0.388381,0.624638,0.398900,0.638783,0.278226,0.644615,0.191436,0.646480,0.121533,0.546148,0.404774,0.536689,0.275206,0.527646,0.181372,0.519447,0.099696,0.469293,0.431249,0.444049,0.319537,0.428478,0.229156,0.414645,0.151273,0.398746,0.470398,0.365527,0.375834,0.351170,0.305846,0.341061,0.240886,1572669044527
0.547049,0.723574,0.661939,0.656996,0.732186,0.558864,0.782795,0.471308,0.849787,0.383959,0.631001,0.394286,0.646546,0.272745,0.651177,0.188044,0.651137,0.120011,0.553227,0.399429,0.543726,0.270244,0.534989,0.176966,0.526457,0.095100,0.477823,0.426371,0.452606,0.314642,0.435779,0.224768,0.421775,0.147007,0.408648,0.466500,0.374094,0.372120,0.358813,0.302893,0.348801,0.238607,1572669044687
0.551041,0.721949,0.670022,0.655391,0.739949,0.557522,0.788245,0.471791,0.852913,0.385443,0.636069,0.391537,0.651184,0.272540,0.658241,0.188249,0.661040,0.120809,0.558371,0.397950,0.548498,0.269871,0.542435,0.177950,0.536670,0.096128,0.482897,0.424780,0.457703,0.313948,0.444163,0.225079,0.432948,0.148699,0.412117,0.462585,0.376890,0.370121,0.363828,0.301228,0.356004,0.237642,1572669044803
0.560585,0.723884,0.677145,0.655690,0.745492,0.559975,0.795187,0.474723,0.860566,0.385945,0.645150,0.394504,0.660229,0.274136,0.666347,0.189065,0.668678,0.121884,0.568875,0.401201,0.557901,0.272884,0.550112,0.180274,0.543590,0.098738,0.494899,0.426939,0.468428,0.315713,0.453499,0.225848,0.442861,0.148884,0.426134,0.465382,0.391527,0.371637,0.378802,0.302468,0.371179,0.239425,1572669044918
0.569791,0.719829,0.686036,0.661202,0.755001,0.560018,0.802309,0.471000,0.864675,0.384642,0.654369,0.391284,0.669658,0.271970,0.674847,0.187198,0.674549,0.118793,0.576025,0.396380,0.568093,0.268106,0.560459,0.175488,0.552414,0.095086,0.499288,0.423805,0.475932,0.312988,0.460832,0.223262,0.447233,0.145612,0.428578,0.463827,0.395426,0.370842,0.380896,0.302231,0.370848,0.238871,1572669045037
0.572916,0.722080,0.689008,0.656861,0.755720,0.561384,0.803892,0.474769,0.867653,0.386589,0.658526,0.393988,0.673468,0.275415,0.681143,0.189457,0.684338,0.120330,0.582154,0.400758,0.571353,0.273216,0.563797,0.180391,0.557783,0.098572,0.507543,0.427239,0.481472,0.316495,0.466965,0.226741,0.457301,0.149606,0.438170,0.465080,0.402858,0.370861,0.390321,0.302600,0.383413,0.239941,1572669045152
0.579567,0.721923,0.695142,0.660132,0.762318,0.561254,0.810749,0.473200,0.874284,0.386537,0.664778,0.395576,0.679086,0.274999,0.684508,0.189695,0.684463,0.120583,0.587899,0.400456,0.577849,0.272246,0.569847,0.179354,0.562688,0.096468,0.511789,0.427050,0.486416,0.315456,0.471958,0.225928,0.460601,0.147181,0.441926,0.465934,0.409176,0.372226,0.395433,0.304097,0.385629,0.239474,1572669045265
0.590677,0.723734,0.706369,0.659383,0.771864,0.560927,0.819035,0.473982,0.882407,0.386679,0.674045,0.396024,0.688544,0.277796,0.695104,0.191180,0.697500,0.120468,0.598091,0.399700,0.587439,0.274291,0.577436,0.180988,0.570289,0.098538,0.522488,0.424912,0.498208,0.314482,0.483267,0.223280,0.474359,0.145670,0.451457,0.463052,0.418336,0.369793,0.405000,0.299893,0.397923,0.236263,1572669045381
0.595953,0.720917,0.713537,0.658990,0.780090,0.559854,0.828561,0.473502,0.893386,0.385993,0.679323,0.393199,0.694649,0.275766,0.700626,0.190126,0.702600,0.121669,0.603148,0.398949,0.592527,0.272535,0.583587,0.179091,0.575674,0.097002,0.528077,0.425037,0.502764,0.315348,0.488346,0.225686,0.477177,0.149995,0.457676,0.462447,0.424825,0.370620,0.412377,0.301971,0.404990,0.239091,1572669045499
0.600848,0.719883,0.718506,0.656241,0.785401,0.560560,0.832157,0.474302,0.894938,0.384340,0.688442,0.394325,0.703383,0.277211,0.711186,0.193643,0.713654,0.123452,0.611152,0.400626,0.602701,0.273710,0.595056,0.182323,0.588261,0.098979,0.534363,0.426338,0.509766,0.316930,0.497148,0.229189,0.486981,0.151420,0.462743,0.462560,0.429303,0.370383,0.418795,0.303122,0.411937,0.238703,1572669045614
0.614016,0.720679,0.731065,0.654727,0.794390,0.557552,0.841073,0.471250,0.903065,0.382233,0.696585,0.395241,0.711397,0.278417,0.719074,0.192010,0.722649,0.120489,0.620272,0.399152,0.609746,0.274300,0.599607,0.181126,0.591044,0.099395,0.544079,0.424868,0.520437,0.314004,0.507113,0.223715,0.497893,0.147056,0.473144,0.462241,0.441349,0.369115,0.430034,0.299545,0.423180,0.235388,1572669045730
0.618244,0.719352,0.735921,0.659352,0.802080,0.563474,0.849095,0.478194,0.913714,0.388201,0.706032,0.395132,0.720091,0.278007,0.725542,0.191654,0.726492,0.121630,0.628354,0.400232,0.618620,0.275414,0.609288,0.182368,0.600264,0.099499,0.552148,0.425806,0.527939,0.317702,0.513604,0.228326,0.501310,0.152299,0.480983,0.461947,0.448310,0.370927,0.435038,0.302833,0.426007,0.240669,1572669045851
