x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.726339,0.662980,0.802723,0.626791,0.843355,0.567200,0.873394,0.518824,0.910801,0.474956,0.784218,0.482060,0.789667,0.408141,0.794967,0.359995,0.797179,0.324030,0.735191,0.482104,0.727984,0.398907,0.725665,0.346007,0.721927,0.301406,0.687565,0.496249,0.669979,0.423411,0.660616,0.370291,0.652997,0.325681,0.642498,0.517891,0.620236,0.458487,0.611401,0.416537,0.604403,0.377704,1572669373725
0.724098,0.680337,0.795184,0.643580,0.837657,0.590712,0.869676,0.541884,0.906918,0.493626,0.780423,0.493080,0.788386,0.420742,0.792973,0.370582,0.794164,0.331303,0.733627,0.493777,0.725870,0.419053,0.722704,0.362892,0.719799,0.315805,0.685498,0.508118,0.669139,0.443500,0.661109,0.388802,0.652141,0.342071,0.642093,0.530843,0.622450,0.476651,0.613471,0.434373,0.606112,0.393388,1572669373861
0.724827,0.695531,0.795100,0.655819,0.837599,0.601755,0.869177,0.552512,0.906630,0.504391,0.781258,0.504695,0.787541,0.431881,0.792462,0.381563,0.793977,0.343171,0.733597,0.506241,0.725579,0.430382,0.721457,0.375205,0.717649,0.328737,0.685664,0.521326,0.670330,0.454941,0.661630,0.400154,0.652587,0.353783,0.641573,0.543499,0.621203,0.487504,0.611707,0.445534,0.603910,0.405298,1572669373982
0.723441,0.704608,0.792971,0.664614,0.835661,0.611150,0.867412,0.561920,0.905587,0.512578,0.777693,0.513789,0.784235,0.440365,0.788741,0.389608,0.789989,0.351163,0.730490,0.516260,0.722221,0.440255,0.718369,0.384448,0.714893,0.337196,0.682711,0.532807,0.665903,0.465569,0.656518,0.411283,0.647021,0.364930,0.639160,0.557160,0.617462,0.499592,0.607918,0.457665,0.600309,0.417686,1572669374098
0.719139,0.722891,0.790864,0.682760,0.832161,0.630380,0.863385,0.579865,0.898964,0.530709,0.777018,0.534721,0.782185,0.457807,0.785722,0.407940,0.785922,0.371259,0.729039,0.535304,0.720457,0.456355,0.716672,0.400072,0.713126,0.354140,0.680720,0.549850,0.664432,0.480393,0.656070,0.424837,0.646703,0.378782,0.636784,0.572546,0.615422,0.513108,0.606044,0.470858,0.598705,0.431006,1572669374211
0.718518,0.734933,0.790138,0.694822,0.832805,0.640386,0.864241,0.591219,0.899255,0.542948,0.774238,0.543125,0.781174,0.469652,0.785147,0.418820,0.785758,0.380453,0.727058,0.544975,0.718474,0.469339,0.713879,0.412599,0.710737,0.365365,0.679183,0.560220,0.663486,0.493694,0.653446,0.438515,0.643522,0.392699,0.635143,0.582992,0.614699,0.527004,0.605222,0.485394,0.597609,0.446710,1572669374326
0.711532,0.748478,0.782142,0.708008,0.824866,0.656825,0.855314,0.607730,0.893385,0.557472,0.768002,0.558648,0.773780,0.482943,0.777089,0.432709,0.777213,0.395674,0.719622,0.561768,0.709804,0.483625,0.705669,0.427251,0.702950,0.378876,0.671346,0.577901,0.655321,0.507549,0.647207,0.452796,0.639233,0.407039,0.626475,0.600802,0.605945,0.540785,0.596671,0.498892,0.589165,0.459173,1572669374442
0.704625,0.762286,0.774217,0.720149,0.818474,0.667639,0.849868,0.618471,0.888038,0.568348,0.760780,0.570066,0.766229,0.495944,0.769347,0.445900,0.769464,0.408679,0.712447,0.572998,0.702298,0.495603,0.698030,0.439605,0.695288,0.391517,0.664557,0.589470,0.647834,0.519338,0.639327,0.464877,0.631386,0.419348,0.619976,0.612700,0.599757,0.553791,0.590283,0.512072,0.582599,0.472232,1572669374558
0.701689,0.773149,0.771572,0.730756,0.815174,0.677091,0.847452,0.628662,0.885987,0.577604,0.756360,0.579908,0.762009,0.506883,0.765799,0.456426,0.766125,0.418635,0.708672,0.582394,0.698670,0.506086,0.694213,0.450923,0.690889,0.403496,0.661076,0.598270,0.644005,0.529998,0.635332,0.475385,0.626562,0.429299,0.617436,0.621272,0.597216,0.563965,0.587599,0.522290,0.579287,0.482227,1572669374677
0.694426,0.785517,0.763365,0.744997,0.807097,0.693627,0.839010,0.645213,0.876992,0.593196,0.750199,0.596141,0.754501,0.521425,0.758329,0.470127,0.759279,0.430711,0.702000,0.599244,0.691591,0.521195,0.687793,0.464694,0.685479,0.416337,0.654020,0.616305,0.635954,0.544810,0.628498,0.490530,0.621560,0.445974,0.610201,0.640222,0.589125,0.579335,0.579361,0.537922,0.571438,0.498775,1572669374797
0.687544,0.796609,0.754828,0.756894,0.798708,0.703660,0.830409,0.653691,0.867596,0.603248,0.741085,0.606740,0.746209,0.532549,0.749493,0.481663,0.749485,0.442028,0.693276,0.609637,0.683596,0.531050,0.679643,0.474014,0.676806,0.425718,0.645593,0.627304,0.627499,0.554833,0.618703,0.500364,0.610429,0.455698,0.602268,0.651935,0.581227,0.590438,0.570701,0.548732,0.561852,0.509185,1572669374971
0.676631,0.805520,0.744979,0.765432,0.787795,0.713801,0.820312,0.664498,0.858031,0.615653,0.731283,0.618662,0.735846,0.545134,0.740361,0.493802,0.740965,0.452786,0.683684,0.621516,0.673861,0.543327,0.670323,0.487040,0.666624,0.438048,0.636258,0.639101,0.617049,0.566710,0.609652,0.512763,0.601861,0.467962,0.592388,0.662744,0.571366,0.601914,0.562114,0.560173,0.553547,0.519680,1572669375141
0.667720,0.816372,0.735327,0.777336,0.777917,0.725047,0.808581,0.675181,0.846246,0.625832,0.722594,0.628323,0.729185,0.553689,0.733550,0.503126,0.733965,0.463521,0.675030,0.631355,0.666159,0.552107,0.662914,0.495327,0.660147,0.446741,0.627354,0.648754,0.609439,0.575939,0.601692,0.521762,0.593644,0.477378,0.583796,0.672036,0.561857,0.610957,0.551842,0.569405,0.542992,0.529891,1572669375259
0.658089,0.823768,0.729444,0.779666,0.770810,0.728300,0.801681,0.679890,0.841519,0.629522,0.715071,0.634608,0.721241,0.560151,0.726171,0.509584,0.726501,0.469653,0.667542,0.638596,0.659134,0.559392,0.655560,0.505082,0.651058,0.457377,0.620782,0.654096,0.602842,0.583096,0.594881,0.529581,0.585316,0.484674,0.577611,0.674462,0.555896,0.615542,0.546991,0.574054,0.538442,0.534303,1572669375385
0.646284,0.841007,0.716161,0.798633,0.757921,0.749098,0.787704,0.700408,0.825827,0.649500,0.704343,0.652836,0.710499,0.575205,0.713793,0.524135,0.711774,0.485844,0.656326,0.654181,0.646889,0.573309,0.644202,0.515349,0.639421,0.467621,0.608557,0.668782,0.591535,0.594440,0.583873,0.538693,0.574126,0.495657,0.564542,0.689603,0.542957,0.627481,0.533532,0.585362,0.523619,0.547844,1572669375503
0.637782,0.846564,0.707547,0.802924,0.748026,0.750403,0.778128,0.699988,0.816396,0.647541,0.694423,0.655666,0.700698,0.581547,0.705254,0.530940,0.705817,0.491744,0.647665,0.658279,0.640072,0.580058,0.635740,0.525195,0.631274,0.478214,0.600530,0.673600,0.583988,0.603574,0.576118,0.549794,0.567466,0.506140,0.556717,0.694041,0.535189,0.634985,0.526573,0.593328,0.519642,0.554918,1572669375617
0.623335,0.854047,0.693272,0.810647,0.735409,0.761377,0.766259,0.713900,0.805436,0.662251,0.680495,0.668529,0.686182,0.590813,0.688990,0.539797,0.687927,0.500724,0.634027,0.670769,0.624892,0.589614,0.621308,0.531883,0.616848,0.483063,0.586699,0.685973,0.568899,0.610263,0.560547,0.554855,0.551613,0.511879,0.543285,0.706694,0.521574,0.643332,0.511638,0.601103,0.501805,0.563051,1572669375732
0.613865,0.859885,0.685024,0.816598,0.724942,0.766444,0.755013,0.716930,0.793908,0.664850,0.669993,0.673182,0.676788,0.595791,0.679399,0.544902,0.678706,0.506061,0.622676,0.675653,0.615647,0.593517,0.611915,0.536121,0.608340,0.487425,0.574847,0.691852,0.557608,0.618261,0.549393,0.562688,0.541705,0.517635,0.530609,0.713557,0.508639,0.651708,0.498866,0.609321,0.491487,0.570204,1572669375846
0.603548,0.865788,0.675050,0.821402,0.714841,0.769613,0.744165,0.720154,0.784197,0.669344,0.660135,0.677634,0.666914,0.601824,0.670679,0.551040,0.670349,0.511418,0.612830,0.680410,0.605609,0.599970,0.601998,0.544294,0.597933,0.496421,0.565539,0.696134,0.548815,0.624241,0.541305,0.569864,0.533262,0.525687,0.521614,0.716968,0.499964,0.656845,0.490867,0.614843,0.483216,0.575952,1572669375962
0.589031,0.872660,0.659733,0.828873,0.701502,0.779180,0.732087,0.731815,0.771440,0.680716,0.646185,0.686709,0.651424,0.608863,0.654959,0.557809,0.654975,0.518940,0.599836,0.689315,0.589857,0.607724,0.586367,0.549937,0.582407,0.500974,0.552530,0.704794,0.534223,0.628904,0.525928,0.573067,0.517367,0.529661,0.509101,0.725581,0.487027,0.662029,0.476976,0.619490,0.467153,0.581367,1572669376081
0.576812,0.878605,0.646603,0.834880,0.686739,0.785828,0.717655,0.738342,0.757846,0.686256,0.632624,0.692261,0.639370,0.614739,0.642479,0.564069,0.641823,0.524877,0.586855,0.695172,0.578087,0.612666,0.574460,0.555820,0.570526,0.507156,0.539639,0.711063,0.521168,0.635374,0.512645,0.580140,0.504508,0.536357,0.495867,0.732016,0.473657,0.668513,0.463836,0.626452,0.455473,0.588549,1572669376195
0.563798,0.881860,0.633348,0.838063,0.673640,0.788507,0.704095,0.740340,0.744154,0.688356,0.619998,0.697343,0.626788,0.617741,0.630017,0.566527,0.629769,0.527418,0.574401,0.699860,0.566195,0.615812,0.562450,0.559063,0.558818,0.510882,0.527094,0.715276,0.509013,0.638678,0.501177,0.583802,0.493927,0.540655,0.483138,0.736106,0.460472,0.671486,0.451086,0.629838,0.443494,0.592380,1572669376324
0.551564,0.883587,0.620512,0.841293,0.660914,0.791835,0.691183,0.743859,0.731841,0.692926,0.607294,0.700967,0.613896,0.621139,0.617812,0.569784,0.617889,0.530474,0.562201,0.703408,0.553360,0.619588,0.549545,0.562542,0.545780,0.514058,0.514851,0.718890,0.496383,0.642913,0.488805,0.587744,0.481467,0.544352,0.470719,0.739625,0.448121,0.675053,0.438818,0.633426,0.430982,0.596344,1572669376442
0.539589,0.887142,0.609073,0.843559,0.648593,0.793784,0.678521,0.746149,0.719071,0.695494,0.594810,0.703105,0.600946,0.623797,0.604599,0.572529,0.604445,0.533386,0.549720,0.705758,0.540483,0.622491,0.536417,0.565477,0.532064,0.517082,0.502623,0.721440,0.483686,0.645864,0.476103,0.590629,0.468548,0.547268,0.458801,0.742489,0.436212,0.678496,0.426940,0.636214,0.418966,0.598469,1572669376560
0.523621,0.892308,0.594041,0.847122,0.635613,0.794904,0.665942,0.746377,0.703307,0.693420,0.577893,0.705530,0.582452,0.623731,0.585964,0.571408,0.586328,0.532443,0.532702,0.709159,0.521905,0.625041,0.518199,0.566730,0.513981,0.517676,0.486355,0.724976,0.464087,0.648936,0.456494,0.592236,0.447901,0.547637,0.444417,0.746198,0.418669,0.682031,0.408519,0.639531,0.398694,0.601013,1572669376680
0.509817,0.892946,0.580481,0.846722,0.621311,0.794498,0.652242,0.745558,0.689277,0.693687,0.565485,0.708578,0.572323,0.629386,0.575841,0.577226,0.576231,0.537293,0.520106,0.710796,0.512906,0.627255,0.508958,0.570862,0.505160,0.522415,0.473233,0.725876,0.455108,0.651741,0.448678,0.597852,0.441996,0.554359,0.429625,0.746409,0.405623,0.685472,0.396925,0.643791,0.390030,0.604067,1572669376796
0.496312,0.896909,0.566987,0.848779,0.608629,0.794847,0.639120,0.746261,0.674654,0.691869,0.551289,0.707351,0.558047,0.625744,0.560403,0.573106,0.559214,0.532936,0.505775,0.710843,0.496592,0.625882,0.490975,0.567856,0.485141,0.518442,0.459224,0.726653,0.437562,0.649190,0.429753,0.592994,0.421627,0.548649,0.417411,0.748731,0.391141,0.685086,0.380122,0.642405,0.370302,0.602536,1572669376912
0.479822,0.896077,0.552894,0.845774,0.594707,0.790431,0.626241,0.740587,0.660014,0.686938,0.535708,0.706246,0.543365,0.627246,0.546577,0.575303,0.545112,0.534814,0.490713,0.708851,0.484150,0.624791,0.480710,0.568343,0.476650,0.519336,0.445020,0.724743,0.426547,0.650149,0.419753,0.596288,0.413102,0.552531,0.402798,0.746647,0.378358,0.686575,0.370133,0.644867,0.364006,0.605405,1572669377030
0.470888,0.899029,0.540646,0.848096,0.581870,0.793257,0.613221,0.742247,0.648289,0.686849,0.525367,0.710441,0.533382,0.628699,0.536010,0.576088,0.534750,0.534364,0.480070,0.710771,0.473541,0.625449,0.468387,0.567698,0.462894,0.517714,0.434005,0.725536,0.416100,0.648679,0.409145,0.592603,0.402429,0.546852,0.391536,0.748441,0.366724,0.685954,0.356911,0.642773,0.349082,0.601809,1572669377146
0.453608,0.898678,0.522602,0.846013,0.565892,0.791778,0.597395,0.741586,0.630009,0.685897,0.510560,0.708284,0.517134,0.626592,0.519272,0.573007,0.518057,0.530866,0.465123,0.709552,0.458216,0.623752,0.453496,0.565134,0.447902,0.515093,0.418603,0.724446,0.400274,0.646812,0.393356,0.590510,0.387501,0.544759,0.375704,0.746769,0.350866,0.683754,0.340961,0.640454,0.334122,0.599091,1572669377261
0.437656,0.894770,0.508476,0.843359,0.551489,0.789392,0.585581,0.738930,0.621967,0.684529,0.495484,0.705166,0.502807,0.624433,0.507185,0.571605,0.507441,0.530714,0.450560,0.706480,0.444209,0.620725,0.441214,0.562366,0.438093,0.512115,0.405099,0.721898,0.388170,0.645993,0.380822,0.590297,0.374557,0.544556,0.362002,0.744116,0.337630,0.682811,0.328557,0.640110,0.322679,0.599451,1572669377378
