x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.368152,0.434122,0.437830,0.393811,0.479701,0.335122,0.511207,0.287490,0.550283,0.243177,0.420662,0.244743,0.427065,0.173823,0.432687,0.123438,0.435473,0.084003,0.373975,0.246729,0.365213,0.166607,0.361421,0.110303,0.357258,0.065363,0.327309,0.260870,0.311264,0.189214,0.303066,0.134576,0.296739,0.089281,0.283282,0.281682,0.260525,0.222993,0.253123,0.181274,0.249357,0.141929,1572669289566
0.380705,0.433004,0.450875,0.391312,0.490380,0.335754,0.519608,0.284956,0.558558,0.232854,0.431109,0.243619,0.439066,0.171040,0.442515,0.120008,0.444005,0.077394,0.384964,0.245509,0.379254,0.167425,0.373190,0.111903,0.367815,0.063552,0.339013,0.259447,0.324107,0.191341,0.314765,0.137294,0.308274,0.090771,0.296520,0.281180,0.275390,0.224378,0.265720,0.183546,0.259583,0.145889,1572669289695
0.381481,0.433909,0.450355,0.393469,0.489968,0.337948,0.520405,0.287980,0.561546,0.236479,0.433345,0.243538,0.441346,0.169406,0.445050,0.119032,0.446231,0.078057,0.387646,0.246504,0.381044,0.166653,0.376552,0.111553,0.372307,0.062487,0.342473,0.260994,0.327509,0.191101,0.318790,0.137683,0.311748,0.091981,0.300665,0.281525,0.279141,0.223482,0.270254,0.183012,0.264239,0.146032,1572669289813
0.394515,0.434181,0.464256,0.392140,0.504134,0.337074,0.533824,0.286662,0.571309,0.234121,0.444711,0.244793,0.452090,0.172670,0.455544,0.121559,0.457358,0.079566,0.399281,0.246361,0.392944,0.169164,0.387780,0.113228,0.384226,0.064808,0.353518,0.259481,0.338837,0.191589,0.330214,0.136674,0.325038,0.090511,0.310599,0.280017,0.288791,0.223235,0.279990,0.181446,0.275682,0.143802,1572669289927
0.395475,0.432235,0.464391,0.393109,0.505007,0.337335,0.535608,0.287310,0.576501,0.236657,0.448459,0.242049,0.456324,0.167950,0.459434,0.117151,0.460034,0.075415,0.401731,0.244492,0.396116,0.163415,0.392079,0.107968,0.387547,0.058553,0.355728,0.258955,0.341222,0.188749,0.332870,0.134607,0.325694,0.088207,0.312952,0.280191,0.292716,0.222258,0.283773,0.181708,0.277555,0.144522,1572669290051
0.396104,0.433092,0.465160,0.393938,0.507131,0.336402,0.536418,0.285893,0.575309,0.234815,0.448112,0.240526,0.457746,0.169089,0.462751,0.118382,0.466075,0.076396,0.401767,0.244702,0.396509,0.167481,0.392651,0.111449,0.389731,0.062604,0.354585,0.260805,0.337827,0.192861,0.330191,0.138684,0.323784,0.091422,0.311414,0.283150,0.290590,0.225745,0.283392,0.184263,0.279290,0.144930,1572669290186
0.411960,0.435578,0.480327,0.393909,0.520836,0.338225,0.550590,0.286733,0.589374,0.234006,0.462158,0.245722,0.469523,0.172712,0.472528,0.121610,0.472905,0.080032,0.416861,0.246073,0.412644,0.166878,0.407386,0.110402,0.403488,0.063783,0.371105,0.257937,0.358100,0.187932,0.348751,0.133563,0.343131,0.089008,0.328243,0.277239,0.305977,0.219540,0.296440,0.178928,0.291415,0.142591,1572669290319
0.411091,0.432659,0.481090,0.392076,0.521973,0.335046,0.552445,0.283971,0.591725,0.232151,0.463510,0.242098,0.471947,0.168084,0.475750,0.117352,0.477533,0.075113,0.416576,0.245356,0.411110,0.166022,0.406469,0.110647,0.401582,0.062074,0.370646,0.260335,0.355559,0.191010,0.347329,0.136919,0.339970,0.091163,0.328301,0.281318,0.307256,0.223902,0.297921,0.183488,0.291104,0.146195,1572669290440
0.413489,0.432867,0.482532,0.393810,0.522699,0.337856,0.553791,0.287123,0.594427,0.235230,0.466017,0.242744,0.475367,0.168368,0.479144,0.118320,0.480197,0.077037,0.420122,0.245491,0.415151,0.165482,0.410539,0.110395,0.405959,0.062261,0.374537,0.259896,0.359765,0.189680,0.351018,0.135859,0.343840,0.090347,0.332880,0.280369,0.311293,0.221699,0.302322,0.180943,0.296475,0.143989,1572669290568
0.426988,0.434235,0.496443,0.391696,0.537026,0.336216,0.566785,0.285421,0.604274,0.232081,0.478016,0.243578,0.485390,0.171702,0.488742,0.120796,0.490534,0.078638,0.431987,0.245575,0.426342,0.168356,0.420599,0.112631,0.416512,0.064637,0.385915,0.258633,0.371683,0.190652,0.362880,0.136003,0.357294,0.090328,0.342947,0.279310,0.321482,0.222146,0.312885,0.180488,0.308542,0.143033,1572669290693
