Rectangle Co-ordinates,Centroid,Area,Time
"(504, 136, 348, 417)","(673, 341)",109797.5,1581815679.324535
"(500, 135, 352, 419)","(673, 339)",108426.5,1581815679.3524632
"(502, 140, 347, 414)","(671, 341)",109340.5,1581815679.3734255
"(506, 136, 343, 418)","(673, 339)",108360.0,1581815679.3963103
"(502, 139, 347, 414)","(673, 339)",107687.0,1581815679.429202
"(502, 136, 345, 418)","(671, 341)",109678.5,1581815679.463115
"(500, 136, 349, 417)","(673, 343)",110239.0,1581815679.4980009
"(504, 139, 343, 414)","(673, 341)",108356.5,1581815679.5298936
"(502, 137, 347, 417)","(672, 341)",108559.0,1581815679.5639913
"(500, 136, 349, 418)","(671, 340)",108984.0,1581815679.596866
"(502, 137, 346, 417)","(670, 343)",108050.5,1581815679.630768
"(502, 138, 346, 416)","(673, 342)",106885.0,1581815679.6645494
"(504, 139, 343, 415)","(669, 342)",104655.0,1581815679.698436
"(496, 137, 353, 417)","(670, 342)",106889.5,1581815679.7313256
"(500, 137, 345, 416)","(668, 342)",105598.5,1581815679.7652154
"(502, 140, 341, 414)","(670, 343)",106211.0,1581815679.7991133
"(500, 138, 345, 416)","(667, 340)",103880.0,1581815679.831312
"(502, 138, 347, 417)","(667, 339)",104803.5,1581815679.8651984
"(502, 138, 347, 417)","(669, 343)",105558.5,1581815679.9001808
"(506, 140, 343, 416)","(670, 344)",104984.0,1581815679.934149
"(502, 139, 341, 417)","(670, 344)",104067.5,1581815679.9700289
"(506, 144, 339, 416)","(671, 345)",104053.5,1581815680.000927
"(500, 141, 349, 420)","(670, 345)",104377.0,1581815680.0338168
"(506, 142, 347, 421)","(672, 347)",103421.0,1581815680.0677023
"(510, 145, 339, 419)","(671, 348)",102686.5,1581815680.1006403
"(508, 148, 346, 418)","(674, 352)",105484.0,1581815680.135714
"(510, 152, 336, 415)","(671, 356)",103157.0,1581815680.1686063
"(512, 154, 345, 417)","(677, 360)",104634.5,1581815680.2037737
"(522, 160, 334, 418)","(679, 365)",102524.0,1581815680.2360675
"(527, 164, 340, 417)","(686, 369)",101474.0,1581815680.2690306
"(526, 170, 343, 414)","(686, 373)",102697.5,1581815680.3033354
"(532, 172, 341, 418)","(694, 380)",99725.0,1581815680.3361804
"(540, 175, 341, 417)","(701, 382)",99704.0,1581815680.3791282
"(550, 178, 337, 415)","(708, 387)",98608.5,1581815680.404044
"(565, 182, 336, 411)","(719, 387)",98014.0,1581815680.4368448
"(564, 182, 349, 408)","(727, 388)",99949.0,1581815680.4697332
"(582, 180, 335, 410)","(740, 389)",95970.0,1581815680.503621
"(584, 180, 343, 409)","(745, 387)",98698.5,1581815680.5385034
"(590, 179, 347, 406)","(752, 385)",96926.0,1581815680.5713959
"(598, 176, 343, 407)","(756, 383)",97340.0,1581815680.6052794
"(604, 178, 343, 404)","(763, 384)",95541.5,1581815680.6371741
"(604, 172, 343, 409)","(767, 382)",100842.5,1581815680.6710603
"(606, 173, 347, 405)","(769, 379)",97347.0,1581815680.7049468
"(606, 171, 343, 405)","(766, 378)",97531.0,1581815680.7388344
"(610, 171, 341, 405)","(769, 377)",97305.5,1581815680.7718344
"(610, 168, 345, 402)","(772, 375)",95784.5,1581815680.80561
"(616, 165, 342, 400)","(775, 368)",95199.0,1581815680.839786
"(622, 157, 342, 401)","(781, 363)",96223.0,1581815680.8730657
"(626, 153, 347, 399)","(778, 357)",88464.5,1581815680.9070551
"(634, 145, 347, 399)","(792, 351)",90983.0,1581815680.9398425
"(638, 137, 343, 397)","(787, 341)",86548.0,1581815680.9747126
"(642, 132, 347, 395)","(805, 336)",92624.5,1581815681.0076003
"(640, 121, 358, 399)","(798, 325)",86244.0,1581815681.0415266
"(652, 115, 351, 395)","(816, 319)",92981.0,1581815681.0743785
"(658, 104, 351, 397)","(823, 310)",93119.5,1581815681.1092606
"(654, 96, 359, 396)","(814, 302)",90158.5,1581815681.1431472
"(656, 88, 361, 395)","(818, 295)",90243.0,1581815681.176037
"(658, 78, 361, 396)","(834, 280)",91330.0,1581815681.2099254
"(660, 67, 359, 399)","(824, 275)",88044.0,1581815681.2449205
"(662, 62, 361, 395)","(827, 262)",86709.5,1581815681.2769902
"(672, 49, 351, 400)","(832, 258)",92612.5,1581815681.3098762
"(666, 40, 363, 400)","(836, 250)",94713.0,1581815681.343666
"(670, 30, 359, 401)","(831, 241)",89644.5,1581815681.3765552
"(664, 0, 361, 424)","(831, 221)",101001.5,1581815681.41145
"(662, 14, 367, 400)","(833, 223)",94192.5,1581815681.4443278
"(656, 7, 367, 400)","(824, 216)",91504.0,1581815681.4782221
"(654, 0, 365, 400)","(821, 207)",92366.0,1581815681.5112867
"(652, 0, 368, 394)","(826, 200)",98473.5,1581815681.5453532
"(648, 0, 365, 388)","(819, 193)",93552.5,1581815681.5782435
"(642, 0, 366, 382)","(818, 190)",96326.0,1581815681.6134803
"(638, 0, 365, 377)","(808, 184)",89909.0,1581815681.6457393
"(634, 0, 365, 371)","(809, 181)",96719.5,1581815681.6796257
"(626, 0, 363, 367)","(797, 174)",93616.0,1581815681.7137656
"(620, 0, 367, 363)","(798, 175)",97103.0,1581815681.7466557
"(614, 0, 363, 360)","(791, 170)",91001.0,1581815681.7795455
"(608, 0, 367, 358)","(781, 168)",92184.0,1581815681.8149598
"(606, 0, 362, 356)","(785, 167)",97925.0,1581815681.8477492
