Rectangle Co-ordinates,Centroid,Area,Time
"(478, 105, 389, 575)","(651, 361)",155256.5,1581815588.7969737
"(480, 102, 387, 578)","(653, 361)",154268.0,1581815588.8269737
"(484, 106, 381, 575)","(653, 362)",152643.0,1581815588.8458295
"(478, 105, 389, 574)","(653, 362)",153709.0,1581815588.8657427
"(482, 105, 383, 572)","(653, 361)",153275.5,1581815588.8978882
"(474, 105, 391, 573)","(652, 361)",154068.0,1581815588.932734
"(476, 106, 391, 572)","(652, 362)",154253.0,1581815588.9656343
"(474, 106, 393, 568)","(652, 360)",153749.5,1581815588.9985323
"(476, 103, 391, 577)","(652, 361)",154274.0,1581815589.0334694
"(482, 104, 385, 573)","(653, 362)",153471.0,1581815589.0682921
"(480, 105, 386, 575)","(653, 363)",153873.5,1581815589.1001842
"(478, 105, 389, 573)","(653, 363)",153295.5,1581815589.1330755
"(478, 103, 389, 574)","(652, 361)",153566.0,1581815589.1675344
"(476, 106, 391, 574)","(652, 362)",152731.5,1581815589.1994264
"(484, 107, 381, 572)","(651, 362)",152415.0,1581815589.2343097
"(476, 107, 389, 570)","(652, 364)",150823.0,1581815589.2690778
"(478, 104, 381, 574)","(650, 362)",151594.5,1581815589.3031561
"(472, 106, 395, 564)","(650, 362)",151284.5,1581815589.3359473
"(472, 107, 393, 570)","(650, 365)",150695.5,1581815589.369832
"(478, 103, 387, 576)","(649, 363)",151102.5,1581815589.4032013
"(478, 105, 387, 562)","(651, 363)",150158.0,1581815589.4369898
"(478, 106, 387, 575)","(651, 364)",150920.5,1581815589.4708767
"(480, 106, 387, 566)","(652, 363)",150548.5,1581815589.503855
"(482, 105, 383, 576)","(651, 363)",152021.0,1581815589.5376704
"(478, 106, 387, 572)","(650, 363)",151295.5,1581815589.5698123
"(474, 105, 391, 576)","(650, 361)",152574.5,1581815589.6046965
"(476, 106, 389, 572)","(650, 362)",152828.0,1581815589.6376894
"(480, 107, 387, 571)","(650, 363)",152827.5,1581815589.6705012
"(474, 106, 391, 570)","(651, 362)",153177.5,1581815589.7043622
"(476, 106, 391, 572)","(652, 363)",152662.0,1581815589.7392445
"(478, 105, 389, 567)","(652, 362)",152230.0,1581815589.7722268
"(484, 104, 387, 561)","(654, 360)",152159.0,1581815589.8053017
"(488, 101, 381, 553)","(655, 358)",150965.5,1581815589.8394501
"(488, 102, 381, 536)","(656, 353)",146881.0,1581815589.8722904
"(484, 101, 381, 514)","(656, 346)",143778.5,1581815589.9051805
"(488, 95, 365, 487)","(655, 332)",134451.0,1581815589.9401703
"(484, 93, 363, 446)","(651, 318)",128030.0,1581815589.9719708
"(478, 91, 363, 439)","(649, 314)",126523.0,1581815590.006838
"(474, 91, 361, 425)","(645, 308)",125439.0,1581815590.041095
"(478, 90, 351, 417)","(646, 301)",118494.5,1581815590.074107
"(472, 90, 355, 419)","(645, 295)",116078.5,1581815590.106996
"(466, 91, 357, 422)","(645, 289)",111760.0,1581815590.140882
"(466, 93, 355, 417)","(644, 285)",109605.5,1581815590.1778636
"(460, 94, 355, 417)","(643, 284)",108504.0,1581815590.2076585
