Rectangle Co-ordinates,Centroid,Area,Time
"(488, 112, 371, 433)","(671, 337)",127337.5,1581815781.901682
"(494, 112, 365, 433)","(671, 337)",127000.5,1581815781.9309618
"(488, 111, 371, 434)","(672, 336)",126868.5,1581815781.9554944
"(490, 111, 369, 433)","(671, 336)",126765.5,1581815781.9757807
"(492, 109, 367, 436)","(672, 336)",126597.5,1581815782.0045125
"(492, 114, 367, 430)","(671, 337)",126180.0,1581815782.0393322
"(490, 109, 369, 436)","(670, 337)",127704.0,1581815782.071299
"(492, 112, 367, 432)","(671, 337)",126860.0,1581815782.1051643
"(488, 109, 371, 435)","(671, 336)",126859.5,1581815782.1400476
"(492, 113, 367, 431)","(671, 337)",126657.0,1581815782.1729367
"(490, 113, 369, 432)","(670, 337)",127102.0,1581815782.20483
"(490, 111, 369, 434)","(671, 336)",127389.0,1581815782.2397132
"(490, 112, 367, 433)","(671, 337)",126462.5,1581815782.272603
"(492, 109, 365, 436)","(672, 336)",126547.5,1581815782.3074865
"(490, 114, 369, 432)","(671, 337)",127017.0,1581815782.3403776
"(492, 112, 367, 432)","(672, 337)",125862.0,1581815782.3742628
"(490, 110, 369, 436)","(672, 338)",126336.0,1581815782.4071534
"(490, 113, 369, 432)","(671, 338)",126338.5,1581815782.4440298
"(492, 110, 367, 435)","(671, 337)",125678.0,1581815782.4769197
"(491, 114, 368, 433)","(671, 338)",125750.5,1581815782.5118027
"(492, 112, 367, 432)","(672, 337)",125263.0,1581815782.5436969
"(490, 115, 369, 432)","(670, 339)",125938.0,1581815782.576587
"(490, 117, 369, 428)","(671, 338)",125516.0,1581815782.6094768
"(488, 117, 371, 427)","(671, 338)",124865.5,1581815782.6423695
"(491, 115, 368, 430)","(672, 338)",124011.5,1581815782.6773288
"(492, 110, 365, 434)","(670, 338)",125655.5,1581815782.7091444
"(492, 113, 367, 432)","(671, 337)",125579.0,1581815782.7430415
"(489, 112, 370, 433)","(673, 336)",125701.0,1581815782.7769165
"(494, 113, 365, 433)","(674, 336)",124822.5,1581815782.809856
"(492, 113, 369, 434)","(675, 336)",124777.0,1581815782.8446898
"(504, 114, 359, 434)","(680, 337)",123253.0,1581815782.8795724
"(500, 115, 367, 431)","(683, 336)",122814.5,1581815782.911466
"(506, 115, 361, 430)","(684, 336)",123603.0,1581815782.945353
"(506, 110, 365, 433)","(687, 333)",124864.0,1581815782.9792402
"(516, 109, 363, 430)","(695, 331)",123896.5,1581815783.0111332
"(529, 108, 366, 423)","(711, 327)",121695.5,1581815783.0451124
"(550, 105, 363, 427)","(727, 325)",122893.5,1581815783.0878763
"(565, 102, 364, 422)","(743, 320)",122893.5,1581815783.1137915
"(582, 92, 365, 429)","(760, 317)",122898.0,1581815783.1458278
