Rectangle Co-ordinates,Centroid,Area,Time
"(496, 146, 367, 440)","(680, 362)",120653.0,1581815833.4676914
"(498, 143, 364, 443)","(680, 361)",120704.5,1581815833.4947135
"(494, 145, 371, 441)","(679, 361)",121399.0,1581815833.5275927
"(496, 145, 367, 441)","(680, 361)",120026.0,1581815833.5604825
"(496, 145, 367, 441)","(679, 362)",120926.0,1581815833.5943696
"(495, 146, 368, 439)","(679, 362)",120370.0,1581815833.6282575
"(495, 144, 368, 442)","(679, 361)",120940.5,1581815833.6612523
"(496, 146, 367, 440)","(680, 362)",120380.0,1581815833.6960273
"(496, 146, 367, 439)","(678, 361)",121284.5,1581815833.7275877
"(498, 146, 365, 439)","(680, 362)",119910.0,1581815833.7594805
"(496, 141, 369, 444)","(679, 361)",121537.0,1581815833.794455
"(494, 148, 369, 438)","(679, 362)",120262.5,1581815833.8282678
"(494, 144, 369, 441)","(679, 362)",120610.0,1581815833.8613236
"(498, 147, 365, 439)","(679, 362)",120038.0,1581815833.8953004
"(496, 145, 367, 441)","(679, 362)",120033.0,1581815833.929097
"(500, 147, 365, 439)","(680, 362)",119033.0,1581815833.9619877
"(496, 145, 366, 441)","(681, 361)",118589.0,1581815833.9988635
"(498, 144, 365, 442)","(680, 362)",119500.5,1581815834.02976
"(499, 147, 364, 438)","(680, 362)",118745.5,1581815834.06265
"(497, 147, 366, 438)","(681, 363)",117761.5,1581815834.0955555
"(498, 145, 365, 441)","(680, 362)",117638.5,1581815834.130448
"(496, 146, 367, 439)","(680, 361)",118444.0,1581815834.1633656
"(504, 150, 355, 437)","(681, 362)",116828.0,1581815834.2001905
"(508, 145, 353, 440)","(682, 360)",116581.0,1581815834.2312233
"(492, 147, 371, 439)","(680, 362)",117898.0,1581815834.2649734
"(498, 143, 365, 442)","(681, 361)",117943.0,1581815834.2978632
"(496, 146, 367, 439)","(680, 362)",118578.5,1581815834.3317497
"(506, 147, 357, 437)","(681, 361)",117253.5,1581815834.3646398
"(492, 147, 371, 438)","(677, 362)",119934.5,1581815834.3975296
"(505, 147, 358, 437)","(680, 361)",118516.0,1581815834.4335022
"(498, 144, 365, 441)","(679, 363)",118835.0,1581815834.4653041
"(492, 150, 369, 433)","(677, 362)",118910.0,1581815834.4991913
"(496, 149, 363, 435)","(679, 362)",118203.5,1581815834.532091
"(496, 149, 363, 434)","(679, 362)",118111.0,1581815834.5659666
"(498, 144, 359, 437)","(678, 360)",117856.5,1581815834.6008523
"(494, 145, 363, 434)","(678, 359)",117401.0,1581815834.6337392
"(492, 145, 365, 431)","(676, 357)",117352.5,1581815834.6686246
"(500, 144, 355, 429)","(677, 353)",115940.0,1581815834.700516
"(494, 135, 361, 433)","(676, 348)",116604.0,1581815834.7344034
"(486, 126, 369, 436)","(673, 341)",117774.5,1581815834.7693837
